,event_index,event_timestamp,input_device,event_type,event_code,event_value
0,0,83428.510298,/dev/input/event2:,0003,0039,00000000
1,0,83428.510298,/dev/input/event2:,0003,0030,00000004
2,0,83428.510298,/dev/input/event2:,0003,003a,00000081
3,0,83428.510298,/dev/input/event2:,0003,0035,0000397a
4,0,83428.510298,/dev/input/event2:,0003,0036,00005e87
5,0,83428.510298,/dev/input/event2:,0000,0000,00000000
6,0,83428.609656,/dev/input/event2:,0003,003a,00000000
7,0,83428.609656,/dev/input/event2:,0003,0039,ffffffff
8,0,83428.609656,/dev/input/event2:,0000,0000,00000000
9,1,83431.891794,/dev/input/event2:,0003,0039,00000000
10,1,83431.891794,/dev/input/event2:,0003,0030,00000005
11,1,83431.891794,/dev/input/event2:,0003,003a,00000081
12,1,83431.891794,/dev/input/event2:,0003,0035,0000425e
13,1,83431.891794,/dev/input/event2:,0003,0036,00005f98
14,1,83431.891794,/dev/input/event2:,0000,0000,00000000
15,1,83431.957911,/dev/input/event2:,0003,003a,00000000
16,1,83431.957911,/dev/input/event2:,0003,0039,ffffffff
17,1,83431.957911,/dev/input/event2:,0000,0000,00000000
18,2,83435.895496,/dev/input/event2:,0003,0039,00000000
19,2,83435.895496,/dev/input/event2:,0003,0030,00000006
20,2,83435.895496,/dev/input/event2:,0003,003a,00000081
21,2,83435.895496,/dev/input/event2:,0003,0035,0000397a
22,2,83435.895496,/dev/input/event2:,0003,0036,00004abb
23,2,83435.895496,/dev/input/event2:,0000,0000,00000000
24,2,83435.984241,/dev/input/event2:,0003,003a,00000000
25,2,83435.984241,/dev/input/event2:,0003,0039,ffffffff
26,2,83435.984241,/dev/input/event2:,0000,0000,00000000
27,3,83439.329916,/dev/input/event2:,0003,0039,00000000
28,3,83439.329916,/dev/input/event2:,0003,0030,00000007
29,3,83439.329916,/dev/input/event2:,0003,003a,00000081
30,3,83439.329916,/dev/input/event2:,0003,0035,000058e2
31,3,83439.329916,/dev/input/event2:,0003,0036,00002110
32,3,83439.329916,/dev/input/event2:,0000,0000,00000000
33,3,83439.395734,/dev/input/event2:,0003,003a,00000000
34,3,83439.395734,/dev/input/event2:,0003,0039,ffffffff
35,3,83439.395734,/dev/input/event2:,0000,0000,00000000
36,4,83442.001982,/dev/input/event2:,0003,0039,00000000
37,4,83442.001982,/dev/input/event2:,0003,0030,00000008
38,4,83442.001982,/dev/input/event2:,0003,003a,00000081
39,4,83442.001982,/dev/input/event2:,0003,0035,0000497a
40,4,83442.001982,/dev/input/event2:,0003,0036,00005a54
41,4,83442.001982,/dev/input/event2:,0000,0000,00000000
42,4,83442.093613,/dev/input/event2:,0003,003a,00000000
43,4,83442.093613,/dev/input/event2:,0003,0039,ffffffff
44,4,83442.093613,/dev/input/event2:,0000,0000,00000000
45,5,83444.218636,/dev/input/event2:,0003,0039,00000000
46,5,83444.218636,/dev/input/event2:,0003,0030,00000009
47,5,83444.218636,/dev/input/event2:,0003,003a,00000081
48,5,83444.218636,/dev/input/event2:,0003,0035,00004e93
49,5,83444.218636,/dev/input/event2:,0003,0036,00007b98
50,5,83444.218636,/dev/input/event2:,0000,0000,00000000
51,5,83444.281408,/dev/input/event2:,0003,003a,00000000
52,5,83444.281408,/dev/input/event2:,0003,0039,ffffffff
53,5,83444.281408,/dev/input/event2:,0000,0000,00000000
54,6,83449.731132,/dev/input/event2:,0003,0039,00000000
55,6,83449.731132,/dev/input/event2:,0003,0030,0000000a
56,6,83449.731132,/dev/input/event2:,0003,003a,00000081
57,6,83449.731132,/dev/input/event2:,0003,0035,000044bd
58,6,83449.731132,/dev/input/event2:,0003,0036,000023aa
59,6,83449.731132,/dev/input/event2:,0000,0000,00000000
60,6,83449.821160,/dev/input/event2:,0003,003a,00000000
61,6,83449.821160,/dev/input/event2:,0003,0039,ffffffff
62,6,83449.821160,/dev/input/event2:,0000,0000,00000000
63,7,83452.768034,/dev/input/event2:,0003,0039,00000000
64,7,83452.768034,/dev/input/event2:,0003,0030,0000000b
65,7,83452.768034,/dev/input/event2:,0003,003a,00000081
66,7,83452.768034,/dev/input/event2:,0003,0035,00000c71
67,7,83452.768034,/dev/input/event2:,0003,0036,000002ee
68,7,83452.768034,/dev/input/event2:,0000,0000,00000000
69,7,83452.866673,/dev/input/event2:,0003,003a,00000000
70,7,83452.866673,/dev/input/event2:,0003,0039,ffffffff
71,7,83452.866673,/dev/input/event2:,0000,0000,00000000
